banana;88.0;23.0;1.1;0.3
jabolko;52.0;14.0;0.3;0.2
piščančje meso;239.0;0.0;27.0;14.0
golaž;89.0;6.2;10.7;1.6
jogurt;58.0;3.6;10.0;0.4
jajce;155.0;1.1;13.0;11.0
ananas;50.0;13.0;0.5;0.1
tortilija;237.0;50.0;7.0;1.0
brokoli;30.0;6.6;2.8;0.4
pica margerita;222.0;22.6;8.2;10.3
krompir;322.0;17.0;2.0;0.09
kivi;60.0;15.0;1.1;0.5
špinača;23.0;12.8;7.0;3.3
gobova juha;38.0;3.3;0.7;2.6
puding;119.0;20.0;3.2;3.2
rozine;299;79;3.1;0.5
špageti;157.9;30.9;5.8;0.9
mozzarella;280;3.1;28;17
